HGNC ID	Approved symbol	Approved name	Alias symbols	Alias names
HGNC:24011	ABI2	abl interactor 2	ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	
HGNC:29859	ABI3	ABI family member 3	NESH, SSH3BP3	
HGNC:17265	ABI3BP	ABI family member 3 binding protein	NESHBP, DKFZP586L2024, TARSH	target of Nesh-SH3
HGNC:1364	ABITRAM	actin binding transcription modulator	CG-8, FLJ20457, Simiate	
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1		
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	JTK7, c-ABL, p150	
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ARG	Abelson-related gene
HGNC:78	ABLIM1	actin binding LIM protein 1	abLIM, limatin	
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	KIAA1808	
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	KIAA0843	
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	A3GALNT, A3GALT1	
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	MDB	
HGNC:55674	ABR-AS1	ABR antisense RNA 1		
HGNC:30655	ABRA	actin binding Rho activating protein	STARS	striated muscle activator of Rho-dependent signaling
HGNC:21230	ABRACL	ABRA C-terminal like	PRO2013, HSPC280, Costars	
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	FLJ13614, ABRA1, ABRAXAS	Abraxas protein
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	Em:AC068896.4, ABRO1	Abraxas brother
HGNC:17369	ABT1	activator of basal transcription 1	Esf2	
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1		
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	BPOZ, EF1ABP, Btb3, BTBD21	
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	DKFZP586C1619, BTBD22, ABTB2A	
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1		peroxisomal 3-oxoacyl-Coenzyme A thiolase
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	DSAEC	mitochondrial 3-oxoacyl-Coenzyme A thiolase
HGNC:55880	ACAA2P1	ACAA2 pseudogene 1		
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	acetyl-CoA carboxylase 1
HGNC:85	ACACB	acetyl-CoA carboxylase beta	HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	acetyl-CoA carboxylase 2
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8		isobutyryl-CoA dehydrogenase
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	NPD002, MGC14452	
HGNC:56086	ACAD9-DT	ACAD9 divergent transcript		
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	MGC5601	
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	FLJ12592	
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	LCAD, ACAD4	long-chain acyl-CoA dehydrogenase
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	MCAD, MCADH, ACAD1	medium-chain acyl-CoA dehydrogenase
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	SCAD, ACAD3	
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	SBCAD, ACAD7	
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	VLCAD, LCACD, ACAD6	
HGNC:319	ACAN	aggrecan	CSPGCP	aggrecan proteoglycan
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	KIAA0050	
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	KIAA0041, CNT-B2	
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1		
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	KIAA1716	
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	THIL	acetoacetyl Coenzyme A thiolase
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2		acetoacetyl Coenzyme A thiolase, Acetyl-CoA acetyltransferase, cytosolic
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	GCP60, PAP7	PBR- and PKA-associated protein 7
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	RP11-275I14.4	
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	FLJ13322	
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	DKFZp434A2417, KIAA1996	
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	MGC2404	
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	FLJ38219, bA455B2.2	
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	PHACS, ACS	
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like		
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	Ptop, Pip1, Tpp1, Tint1	TIN2 interacting protein 1, POT1 and TIN2 organizing protein
HGNC:2707	ACE	angiotensin I converting enzyme	ACE1, CD143	peptidyl-dipeptidase A
HGNC:13557	ACE2	angiotensin converting enzyme 2	ACEH	peptidyl-dipeptidase A
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene		peptidyl-dipeptidase A, pseudogene
HGNC:18356	ACER1	alkaline ceramidase 1		
HGNC:23675	ACER2	alkaline ceramidase 2	FLJ41587, ALKCDase2	
HGNC:54674	ACER2P1	ACER2 pseudogene 1		
HGNC:16066	ACER3	alkaline ceramidase 3	FLJ11238, APHC	alkaline phytoceramidase
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)		Yt blood group
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	KIAA0670, fSAP152	functional spliceosome-associated protein 152
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	CCBP1, GPD, Dfy, CD234	atypical chemokine receptor 1, glycoprotein D
HGNC:1565	ACKR2	atypical chemokine receptor 2	CCR10, D6, CCR9	
HGNC:23692	ACKR3	atypical chemokine receptor 3	RDC1, GPR159	
HGNC:1611	ACKR4	atypical chemokine receptor 4	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	dJ509I19.4	
HGNC:115	ACLY	ATP citrate lyase	ATPCL, CLATP, ACL	ATP citrate synthase
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene		acid-CoA: amino acid N-acyltransferase, pseudogene
HGNC:117	ACO1	aconitase 1	IRP1, IREBP	aconitate hydratase, cytoplasmic, soluble aconitase, cytosplasmic aconitase
HGNC:118	ACO2	aconitase 2	ACONM	aconitate hydratase, mitochondrial, mitochondrial aconitase
HGNC:33904	ACOD1	aconitate decarboxylase 1	CAD	
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	ACH2, CTE-1, LACH2	
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	Mte1, ZAP128	mitochondrial acyl-CoA thioesterase 1
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	FLJ31235, PTE-Ib, PTE2B	
HGNC:33159	ACOT6	acyl-CoA thioesterase 6		
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	brain acyl CoA hydrolase, Long chain acyl-CoA thioester hydrolase
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	hACTE-III, hTE, PTE-2, NAP1	choloyl-CoA hydrolase, Nef (lentivirus myristoylated factor) associated protein 1
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	CGI-16, MT-ACT48, ACATE2	
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	STARD14, BFIT, KIAA0707, BFIT1, THEM1	StAR-related lipid transfer (START) domain containing 14
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	Cach, THEAL, STARD15	StAR-related lipid transfer (START) domain containing 15
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	HT012	
HGNC:119	ACOX1	acyl-CoA oxidase 1	PALMCOX	palmitoyl-CoA oxidase
HGNC:120	ACOX2	acyl-CoA oxidase 2	BRCACOX, BRCOX, THCCox	trihydroxycoprostanoyl-CoA oxidase, 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase, branched chain acyl-CoA oxidase
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl		
HGNC:25621	ACOXL	acyl-CoA oxidase like	FLJ11042	
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1		
HGNC:122	ACP1	acid phosphatase 1	HAAP, LMW-PTP, LMWPTP	acid phosphatase of erythrocyte, low molecular weight phosphotyrosine protein phosphatase, red cell acid phosphatase
HGNC:123	ACP2	acid phosphatase 2, lysosomal	LAP	lysosomal acid phosphatase
HGNC:125	ACP3	acid phosphatase 3	ACP-3, PAP, TM-PAP	prostatic acid phosphatase
HGNC:14376	ACP4	acid phosphatase 4		testicular acid phosphatase
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	TRAP, HPAP	tartrate-resistant acid phosphatase, human purple acid phosphatase
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	LPAP, ACPL1	lysophosphatidic acid phosphatase
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	FLJ16165, PAPL1, PAPL	purple acid phosphatase long form 1
HGNC:126	ACR	acrosin		preproacrosin, acrosin light and heavy chain prepropeptide
HGNC:17195	ACRBP	acrosin binding protein	SP32, OY-TES-1, CT23	proacrosin binding protein sp32, cancer/testis antigen 23
HGNC:54745	ACRP1	ACR pseudogene 1		
HGNC:127	ACRV1	acrosomal vesicle protein 1	SPACA2, SP-10, D11S4365	sperm protein 10
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	bubblegum, very long-chain acyl-CoA synthetase, lipidosin
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	BGR, PRTD-NY3, DKFZp434K1635	bubblegum related protein
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	FLJ20920, ACSMW	
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3		malonyl-CoA synthetase
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	LACS2, LACS, ACS1, LACS1, FACL1	lignoceroyl-CoA synthase, long-chain fatty-acid-coenzyme A ligase 1
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	ACS3, PRO2194	
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1		
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	ACS4, LACS4	lignoceroyl-CoA synthase,  long-chain fatty-acid-Coenzyme A ligase 4
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	ACS5, ACS2	FACL5 for fatty acid coenzyme A ligase 5, long-chain acyl-CoA synthetase 5, long-chain fatty acid coenzyme A ligase 5, fatty-acid-Coenzyme A ligase, long-chain 5
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	KIAA0837, ACS2, LACS5, LACS2	
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1		
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	MACS1	
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	A-923A4.1, MGC150530	
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	HXMA, HYST1046	xenobiotic/medium chain fatty acid:CoA ligase
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	SA	
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4		similar to olfactory specific medium-chain acyl CoA synthetase
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	FLJ20581	
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1		
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	bA310E22.3	
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	dJ568C11.3, AceCS2L, MGC33843	
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	ACS, ACSA, AceCS, dJ1161H23.1	
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	FLJ21963	
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	NEM3	nemaline myopathy type 3
HGNC:130	ACTA2	actin alpha 2, smooth muscle	ACTSA	
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	uc001kfo.1, ZXF1, UC001kfo	
HGNC:132	ACTB	actin beta		β-actin
HGNC:17780	ACTBL2	actin beta like 2	DKFZp686D0972	
HGNC:134	ACTBP1	ACTB pseudogene 1		
HGNC:135	ACTBP2	ACTB pseudogene 2		
HGNC:136	ACTBP3	ACTB pseudogene 3		
HGNC:137	ACTBP4	ACTB pseudogene 4		
HGNC:139	ACTBP6	ACTB pseudogene 6		
HGNC:140	ACTBP7	ACTB pseudogene 7		
HGNC:141	ACTBP8	ACTB pseudogene 8	ACTBP2	
HGNC:142	ACTBP9	ACTB pseudogene 9		
HGNC:31819	ACTBP10	ACTB pseudogene 10		
HGNC:33971	ACTBP11	ACTB pseudogene 11		
HGNC:150	ACTBP12	ACTB pseudogene 12		
HGNC:45086	ACTBP14	ACTB pseudogene 14		
HGNC:55065	ACTBP15	ACTB pseudogene 15		
HGNC:143	ACTC1	actin alpha cardiac muscle 1	CMD1R	
HGNC:51491	ACTE1P	actin epsilon 1, pseudogene		
HGNC:144	ACTG1	actin gamma 1		
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1		
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2		
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3		
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4		
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6		
